Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
91,I Wanna Rock,Twisted Sister,1984,https://www.youtube.com/watch?v=tyHpTG1MjVU,46dad8bbfb467fc77f6911be5e629b2238bcece6434e1583d34f387e280cae26,I Wanna Rock (2016 Remaster),USAT20000551
92,Black Hole Sun,Soundgarden,1994,https://www.youtube.com/watch?v=3mbBbFH9fAg,903f0cb91850781eb075951101f895e9daab8f8ab405a0975520f078e138ab03,Soundgarden - Black Hole Sun,USAM19400007
93,Bad Medicine,Bon Jovi,1988,https://www.youtube.com/watch?v=eOUtsybozjg,359374051058aa16b7e5594e36b983863da9fce24b464d3874aa538a8a6200cf,Bon Jovi - Bad Medicine (Official Music Video),USPR39402228
94,Rock And Roll All Nite,KISS,1975,https://www.youtube.com/watch?v=EFMD7Usflbg,334f38a868825e6cb1cd59ee4946876743989639ff713338b1d3ed34581534a1,Kiss - Rock And Roll All Nite (From Kiss eXposed),USPR37509157
95,Mr. Jones,Counting Crows,1993,https://www.youtube.com/watch?v=-oqAU5VxFWs,3773ac41a21f37212375fc642d0288c24d458a98ca5ac9b850642bbd44c73830,Counting Crows - Mr. Jones (Official Music Video),USIR10000287
96,Bodies,Drowning Pool,2001,https://www.youtube.com/watch?v=04F4xlWSFh0,252f76a2af028c1466d444fd73cf6367aef14d929b839b7810b0e8e96d36de81,Drowning Pool - Bodies (Official HD Music Video),USWU30006502
97,Stinkfist,TOOL,1996,https://www.youtube.com/watch?v=6zpvlMp04D0,5356522bc3bdce368dbb8ca1a8baefc45471703fc5e7ad92d6aae154043cae62,TOOL - Stinkfist,USZE19600081
98,Run For Cover,The Killers,2017,https://www.youtube.com/watch?v=XO7JGfqPB0s,db8e611ff66d9ba4f0f92139f7176da7f880577a3968b104777bf525c0618979,The Killers - Run For Cover,USUM71707343
99,Kryptonite,3 Doors Down,2000,https://www.youtube.com/watch?v=_p4td1Ch9t8,fc2db7f6324f2f20deb1b9d790dc8a8ce7379254bb5563acb907045b21857692,3 Doors Down - Kryptonite (Official Video),USUR19980187
100,Free Bird,Lynyrd Skynyrd,1973,https://www.youtube.com/watch?v=0LwcvjNJTuM,a2578c11d73206dd4312e2ede5a487fc15d4a859d1ef183ceb34166bd0af9c9b,Lynyrd Skynyrd - Free Bird (Official Audio),USMC17301722
101,Howlin' for You,The Black Keys,2010,https://www.youtube.com/watch?v=3AiRQyOKBJY,2f6ac858da85db591692ef5288855b610fcd75ff57470095e4166b499060e7c8,"The Black Keys ""Howlin' for You"" on Late Night 2010",USNO12000174
102,Master Of Puppets,Metallica,1986,https://www.youtube.com/watch?v=6xjJ2XIbGRk,73c3ca507493eb0a66526c7727f2997c5899eb201f34acd831f4286d478c43bf,Metallica: Master of Puppets (Official Lyric Video),QMKHM1600219
103,The Kill (Bury Me),Thirty Seconds To Mars,2005,https://www.youtube.com/watch?v=8yvGCAvOAfM,181981d33b52e0022ba3467fdfa969f94709e540f56f964f30d142ef73e216b7,Thirty Seconds To Mars - The Kill (Bury Me),USVI20500136
104,Heart-Shaped Box,Nirvana,1993,https://www.youtube.com/watch?v=n6P0SitRwy8,b67172b7eca1598c2bce9710c21af2814e3e454522b39e10752037119490ed50,Nirvana - Heart-Shaped Box,USGF19960703
105,Put Your Head On My Shoulder,Paul Anka,1959,https://www.youtube.com/watch?v=kvazBqAlx58,abb2c827635c4af3c16084682af194ed0e2de59c98d98b547afe558f5d5811b3,Put Your Head On My Shoulder,USRC10000600
